index,time_pos,lat,lon,alt,err_x,err_y,err_z,vx,vy,vz,speed_norm
0,15-15-58,48.6298188,7.7892485,143.44,50.905037417824346,1.4551172893726199,6.560000000000002,2.0,1.4551172893726199,1.0,2.473331018248694
3,15-15-59,48.6298188,7.7892487,143.44,50.905037417824346,1.4404191349582482,6.560000000000002,2.0,1.4404191349582482,1.0,2.464712414127431
6,15-15-59,48.6298188,7.7892488,143.44,50.905037417824346,1.433070057718426,6.560000000000002,2.0,1.433070057718426,1.0,2.4604247174683263
9,15-15-59,48.6298188,7.7892491,143.46,50.905037417824346,1.4110228260642321,6.539999999999992,2.0,1.4110228260642321,1.0,2.4476489567898194
12,15-15-59,48.6298189,7.7892493,143.48,50.893917925820034,1.3963246702662555,6.52000000000001,2.0,1.3963246702662555,1.0,2.4392053182940887
15,15-15-59,48.6298193,7.7892496,143.52,50.849439954642435,1.3742774331868721,6.47999999999999,2.0,1.3742774331868721,1.0,2.4266516979918435
18,15-15-59,48.6298198,7.7892502,143.58,50.79384249146053,1.3301829635066178,6.4199999999999875,2.0,1.3301829635066178,1.0,2.401954769849601
21,15-15-59,48.6298205,7.7892509,143.65,50.71600604268982,1.278739414598519,6.349999999999994,2.0,1.278739414598519,1.0,2.3738522469706833
24,15-15-59,48.6298214,7.7892519,143.73,50.615930609120404,1.2052486328856489,6.27000000000001,2.0,1.2052486328856489,1.0,2.335085494596017
27,15-15-59,48.6298226,7.7892531,143.82,50.48249669716778,1.1170596952582876,6.180000000000007,2.0,1.1170596952582876,1.0,2.2908125987890275
30,15-15-59,48.6298239,7.7892544,143.92000000000002,50.33794329242077,1.0215216818402482,6.079999999999984,2.0,1.0215216818402482,1.0,2.245775266243203
33,15-16-00,48.6298252,7.7892557,144.02,50.193389887673746,0.9259836708835699,5.97999999999999,2.0,0.9259836708835699,1.0,2.203961378686798
36,15-16-00,48.6298266,7.789257,144.13,50.03771699013234,0.8304456615653715,5.8700000000000045,2.0,0.8304456615653715,1.0,2.165557664162455
39,15-16-00,48.629828,7.7892583,144.24,49.882044092590924,0.7349076548978696,5.759999999999991,2.0,0.7349076548978696,1.0,2.1307485213481874
42,15-16-00,48.6298294,7.7892595,144.35,49.7263711958396,0.6467187273489803,5.650000000000006,2.0,0.6467187273489803,1.0,2.1019622052510565
45,15-16-00,48.6298308,7.7892606,144.45000000000002,49.570698298298176,0.5658788785475812,5.549999999999983,2.0,0.5658788785475812,1.0,2.078513628818986
48,15-16-00,48.6298323,7.7892617,144.56,49.40390590875245,0.4850390315737314,5.439999999999998,2.0,0.4850390315737314,1.0,2.057975427975267
51,15-16-00,48.6298337,7.7892628,144.66,49.24823301121103,0.40419918733822996,5.340000000000003,2.0,0.40419918733822996,1.0,2.040435488577104
54,15-16-00,48.6298352,7.7892638,144.76,49.08144062087522,0.33070842113603716,5.240000000000009,2.0,0.33070842113603716,1.0,2.0271576307259114
57,15-16-00,48.6298366,7.7892648,144.86,48.925767724123894,0.25721765730808627,5.139999999999986,2.0,0.25721765730808627,1.0,2.0164723958514927
60,15-16-01,48.6298382,7.7892659,144.97,48.74785584099367,0.17637781932793778,5.030000000000001,2.0,0.17637781932793778,1.0,2.0077622207698993
63,15-16-01,48.6298393,7.7892668,145.05,48.625541421835464,0.11023613587840897,4.949999999999989,2.0,0.11023613587840897,1.0,2.0030356975484493
66,15-16-01,48.6298408,7.7892677,145.15,48.458749032289724,0.04409445369597151,4.849999999999994,2.0,0.04409445369597151,1.0,2.000486021157545
69,15-16-01,48.6298422,7.7892687,145.25,48.303076134748316,-0.029396302077939123,4.75,2.0,-0.029396302077939123,1.0,2.0002160239773747
72,15-16-01,48.6298436,7.7892695,145.35,48.147403237206895,-0.08818890494514588,4.650000000000006,2.0,-0.08818890494514588,1.0,2.001943376560742
75,15-16-01,48.6298451,7.7892703,145.44,47.98061084766117,-0.14698150610078473,4.560000000000002,2.0,-0.14698150610078473,1.0,2.0053936180051175
78,15-16-01,48.6298467,7.7892709,145.54,47.802698964530954,-0.1910759548885976,4.460000000000008,2.0,-0.1910759548885976,1.0,2.009106771810943
81,15-16-01,48.6298484,7.7892715,145.65,47.61366758939643,-0.23517040204521228,4.349999999999994,2.0,-0.23517040204521228,1.0,2.013778815559968
84,15-16-01,48.6298501,7.789272,145.75,47.4246362142619,-0.27191577282102997,4.25,2.0,-0.27191577282102997,1.0,2.018399907726132
87,15-16-02,48.6298518,7.7892725,145.85,47.235604839127376,-0.3086611422936118,4.150000000000006,2.0,-0.3086611422936118,1.0,2.023677766039346
90,15-16-02,48.6298537,7.7892729,145.95000000000002,47.02433447840405,-0.3380574352106253,4.049999999999983,2.0,-0.3380574352106253,1.0,2.028369500239339
93,15-16-02,48.6298556,7.7892732,146.06,46.813064117680725,-0.36010465246075724,3.9399999999999977,2.0,-0.36010465246075724,1.0,2.0321602694482253
96,15-16-02,48.6298577,7.7892734,146.16,46.5795547713686,-0.3748027937163115,3.8400000000000034,2.0,-0.3748027937163115,1.0,2.0348162408870123
99,15-16-02,48.6298596,7.7892737,146.26,46.36828441064527,-0.3968500094007841,3.740000000000009,2.0,-0.3968500094007841,1.0,2.038992381045452
102,15-16-02,48.6298617,7.7892737,146.36,46.134775065123236,-0.39685000114284263,3.6399999999999864,2.0,-0.39685000114284263,1.0,2.038992379438205
105,15-16-02,48.6298637,7.7892736,146.46,45.91238521160551,-0.3895009193079923,3.539999999999992,2.0,-0.3895009193079923,1.0,2.0375747755951856
108,15-16-02,48.6298658,7.7892734,146.56,45.67887586608348,-0.37480276363380993,3.4399999999999977,2.0,-0.37480276363380993,1.0,2.034816235345969
111,15-16-02,48.6298677,7.7892731,146.67000000000002,45.467605505360154,-0.3527555356061177,3.329999999999984,2.0,-0.3527555356061177,1.0,2.0308708644078677
114,15-16-03,48.6298698,7.7892728,146.78,45.23409615904803,-0.3307083077531965,3.219999999999999,2.0,-0.3307083077531965,1.0,2.027157612228754
117,15-16-03,48.6298717,7.7892723,146.87,45.0228257983247,-0.2939629347196504,3.1299999999999955,2.0,-0.2939629347196504,1.0,2.021488116954683
120,15-16-03,48.6298736,7.7892719,146.97,44.81155543760138,-0.26456663625364985,3.030000000000001,2.0,-0.26456663625364985,1.0,2.017422986143107
123,15-16-03,48.6298755,7.7892715,147.07,44.60028507766814,-0.2351703388945337,2.930000000000007,2.0,-0.2351703388945337,1.0,2.0137788081851915
126,15-16-03,48.6298774,7.7892711,147.17000000000002,44.389014716944814,-0.20577404264230229,2.829999999999984,2.0,-0.20577404264230229,1.0,2.010557871991094
129,15-16-03,48.6298792,7.7892709,147.27,44.18886384901589,-0.1910758933545526,2.7299999999999898,2.0,-0.1910758933545526,1.0,2.0091067659587534
132,15-16-03,48.629881,7.7892707,147.37,43.98871298108696,-0.17637774459111671,2.6299999999999955,2.0,-0.17637774459111671,1.0,2.0077622142044236
135,15-16-03,48.6298827,7.7892706,147.47,43.79968160516235,-0.1690286690334669,2.530000000000001,2.0,-0.1690286690334669,1.0,2.007129963643417
138,15-16-03,48.6298846,7.7892704,147.59,43.58841124522911,-0.15433052102009098,2.4099999999999966,2.0,-0.15433052102009098,1.0,2.00594563977151
141,15-16-03,48.6298863,7.7892704,147.68,43.3993798693045,-0.15433051842036813,2.319999999999993,2.0,-0.15433051842036813,1.0,2.0059456395714963
144,15-16-04,48.6298881,7.7892703,147.79,43.19922900137557,-0.14698144347441766,2.210000000000008,2.0,-0.14698144347441766,1.0,2.005393613415038
147,15-16-04,48.6298899,7.7892703,147.9,42.999078133446645,-0.14698144085284834,2.0999999999999943,2.0,-0.14698144085284834,1.0,2.0053936132228953
150,15-16-04,48.6298918,7.7892701,148.01,42.78780777272332,-0.13228329430318178,1.990000000000009,2.0,-0.13228329430318178,1.0,2.004369943386625
